Company_issue_count,TRANS.Company
4,"Go Capital Holdings, LLC"
4,Gold Star Mortgage Financial Group
4,"Gordon, Aylworth & Tami, P.C."
4,Goshen Mortgage LLC
4,Greentree & Associates
4,Grimley Financial Corporation
4,Guardian Mortgage Company
4,Hamilton National Mortgage Company
4,"Harmon Law Offices, P.C."
4,"Head Mercantile Co., Inc."
4,Homestead Funding Corporation
4,"Hunt & Kahn, P.A."
4,ICQ Search and Recovery Inc.
4,"Imperial Credit Systems, Inc."
4,"Integral Recoveries, Inc."
4,J&L Collection Services
4,"Jomax, LLC"
4,"Joseph M. Tobin, PC"
4,"Kinum, Inc."
4,"Korn Law Firm, P.A."
4,"Law Offices of Robert A. Schuerger Co., LPA"
4,"LendKey Technologies, Inc."
4,Loan Servicing Group
4,Louisiana Bureau of Credit Control Inc.
4,"MAS Associates, LLC"
4,"MEDCAH, Inc."
4,MNS & Associates LLC
4,"Mapother & Mapother, PSC"
4,"Medical Recovery Services, LLC"
4,Mendelson Law Firm
4,"Michael & Associates, PC"
4,"Miller and Steeno, P.C."
4,Mission Financial Services Corporation
4,Moneydart Global Services Inc.
4,Mortgage Counseling Center
4,Mortgage Master Inc
4,"NATIONAL AUTO LENDERS, INC."
4,NCP Finance Limited Partnership
4,"NCS, Inc"
4,"NFM, Inc."
4,"Nadler & Associates, P.C."
4,"National Account Services, Inc."
4,National Asset processing LLC
4,"National Financial Group, Inc"
4,Nations Reliable Lending
4,"Neighborhood Housing Services of Richmond, Inc"
4,New City Funding Corp.
4,North Shore LIJ Health System
4,"Northeast Receivables Management, LLC"
4,Northern Ohio Investment Company
4,"Ophrys, L.L.C."
4,PACIFIC WESTERN BANK
4,"Paid In Full, Inc."
4,"Parson Bishop Services, Inc."
4,Peterson Enterprises Inc.
4,Professional Collection Company
4,Profit Services Group
4,"Prosper Marketplace, Inc."
4,"RGL Associates, Inc."
4,RMA Credit Association
4,ROCKPORT FINANCIAL LLC
4,ROCKY MOUNTAIN MORTGAGE COMPANY
4,"RUI Credit Services, Inc."
4,"Receivable Solutions Specialist, Inc."
4,"Reliance First Capital, LLC"
4,Reliant Financial Corporation
4,Remit Corporation
4,"Resurgence Financial, LLC"
4,Retention Consulting Services Inc.
4,"Riverview Law Office, PLLC"
4,"Rockford Mercantile Agency, Inc."
4,SUPERIOR DEBT RECOVERY LLC
4,"Schrier & Tolin, LLC"
4,Screening Reports Inc.
4,"Service Finance Holdings, LLC"
4,"Shechtman Halperin Savage, LLP"
4,"Sherwin P. Robin & Associates, P.C."
4,Sigue
4,Snow and Sauerteig LLP
4,SouthPoint Financial Services
4,Southern Trust Mortgage
4,Southwest Stage Funding LLC
4,"Stephen L. Bruce, P.C."
4,"Student Zoom, LLC"
4,"Superior Adjustment, Inc."
4,"Support Collectors, Inc."
4,"Susan J. Szwed, P.A."
4,"Talbot, Adams, & Moore, Inc."
4,"Taylor Arbitration,LLC"
4,"Tebo Financial Services, Inc."
4,Texas Guaranteed
4,"The Allen Daniel Associates, Inc."
4,"The Borland Law Firm, LLC"
4,The Money Source Inc
4,The Star Financial
4,Thomas & Williams LLC
4,Total Mortgage Services LLC
4,Transcontinental Credit & Collection Corp
4,"Triad Financial Services, Inc."
4,"Underwood Law Firm, LLC"
4,United Group Inc.
4,"Universal Collection Systems, INC"
4,Universal Lending Corporation
4,"University Lending Group, LLC"
4,Viamericas
4,"Vision Financial Services, Inc."
4,"Voss & Klein, LLC"
4,Westhill Financial
4,"Wetsch, Abbott & Osborn, PLC"
4,"Wilson, Riley & Assoc"
4,"Works & Lentz, Inc"
3,24 Asset Management Corp
3,ABC Finance Co.
3,ALTERNATIVE DISPUTE RESOLUTIONS
3,ARAKI-REGAN & ASSOCIATES LLC
3,Aaron Worldwide Collections Inc.
3,"Account Recovery Specialists, Inc."
3,"Accredited Collection Service, Inc."
3,"Advantage Collection Professionals, Inc."
3,Affiliates Management Company
3,"Alessi & Koenig, LLC"
3,"Allen Tate Mortgage Services, Inc."
3,Allied Data Corporation
3,"Alpine Financial Solutions, Inc."
3,"Amcap Mortgage, Ltd."
3,"America's Car-Mart, Inc."
3,American Finance House of Lariba
3,"American Lending Solutions, LLC"
3,Amity Associates LLC
3,"Andrews & Cox, P.C."
3,"Apple Law Group, Inc."
3,"Ark-La-Tex Financial Services, LLC"
3,"Asset Management Holdings, LLC"
3,Asset Recovery Inc
3,"Aurora Enterprises, Inc."
3,"Automotive Management Services, Inc."
3,"Avalanche Title and Escrow, LLC"
3,BHFC Financial Services INC
3,"BRAUFMANN, LEIGHMANN & ASSOCIATES"
3,"Benuck & Rainey, Inc."
3,Blackhawk Finance
3,Blackwater Capital Group LLC.
3,"Blue Sky Capital Realty, Inc."
3,"Bowen & Associates Recovery, Inc"
3,Brand Banking Company
3,Butte County Credit Bureau
3,"C & M Associates Group, Inc."
3,"CDI Affiliated Services, Inc."
3,"CMCO Mortgage, LLC"
3,"CN Collections, Inc."
3,COOLEY ENTERPRISES INC
3,"CU Mortgage Services, Inc."
3,Cannon & Cannon Firm PC
3,"Carmen V. Porreca, P.C."
3,Castle Credit Corp
3,Central Business Funding
3,"Certified Collectors, Inc."
3,Cherry Creek Mortgage
3,Churchill Mortgage Corporation
3,"Circleback Lending, Inc."
3,Clayton Holdings LLC
3,Client Financial Services of Michigan LLC
3,Climb Credit Inc.
3,"Collection Bureau of Kansas, Inc."
3,Collection Bureau of Walla Walla
3,Collection Center Inc
3,Consumer Real Estate Finance Co.
3,Cornerstone Mitigation
3,"Credit Bureau of New Ulm, Inc."
3,"Credit Collections Services, Inc."
3,Credit Solutions
3,"Credit Systems of the Fox Valley, Inc."
3,"Credit Technology, Inc."
3,Creditors Service Bureau Inc
3,"D.B.M.E., INC"
3,D2 Management LLC
3,Data Mortgage Inc.
3,"Direct Lenders, LLC"
3,"Driver Holdings, LLC"
3,Eagle Collection Corp.
3,"Eastern Revenue, Inc"
3,"Encircle Collections, Inc."
3,"Enerson Law, LLC."
3,"Erin Capital Management, LLC"
3,Euler Hermes Collections North America Company
3,"Evergreen Recovery Solutions, LLC"
3,"F&T Financial Services, Inc. (Closed)"
3,"FactorTrust, Inc."
3,Falls Collection Service Inc.
3,"Federal Financial Services, Inc."
3,"Financial Service Center of Ohio, LLC"
3,"First American Mitigators, PLLC."
3,First American Mortgage Trust
3,First Colony Mortgage
3,"First Direct Lending, LLC"
3,First Reliance Holdings LLC
3,"First Service Residential, Nevada, LLC"
3,"First Southwestern Financial Services, LLC"
3,"Fitzgerald Goldman & Associates, Inc."
3,"Full Circle Financial Services, LLC"
3,"G. Reynolds Sims & Associates, P. C."
3,"GFS, Inc."
3,GLOBAL SOLUTION BIZ LLC.
3,Gaba Law Corporation
3,General Collection Co.
3,"George Gusses Co., L.P.A."
3,Global Lending Services LLC
3,"Global Portfolio Recovery, LLC"
3,"Grace Period, Inc."
3,"Green & Sons Agency, Inc."
3,"Hamilton Group Funding, Inc"
3,Hampton Roads Bankshares
3,"Harvest Credit Management VII, LLC"
3,"Healthcare Receivable Professionals, LLC"
3,Highlands Residential Mortgage
3,Homestar Financial Corporation
3,Hometrust Mortgage Company
3,"IMMEDIATE RECOVERY GROUP, INC"
3,"Icon Equities, LLC"
3,Idaho Housing and Finance Association
3,"Ideal Collection Services, Inc."
3,Innovative Debt Solutions
3,Integrity Home Loan
3,Intermex Wire Transfer
3,"J J Marshall & Associates, Inc"
3,J. Mark Heldenbrand PC
3,Jana Ferrell & Associates LLC
3,Jason A. Craig & Associates
3,"Jormandy, LLC"
3,K & B Capital Corp
3,Keystone Credit Collections Inc.
3,"Kingston Financial, LLC"
3,"LCJ Consultants, LLC."
3,"LK Manley, Inc"
3,"Ladera Lending, Inc"
3,"Lake Area Collections, LLC"
3,"Larsen & Associates, P.L."
3,"Law Office of James R. Vaughan, P.C."
3,"Law Office of Rory W. Clark, APLC"
3,Lending Club Corporation
3,Lionstone Holdings Group
3,"Lloyd's Plan, Inc."
3,"MERCHANTS ADJUSTMENT SERVICE, INC."
3,"MVBA, L.L.C."
3,Mages & Price LLC
3,"Mayan, LLC"
3,"McCarthy & Holthus, LLP"
3,McKenzie Paul & Associates
3,"Medical Financial Services, Inc."
3,Megastar Financial Corp.
3,Member Mortgage Services
3,"Midpoint Law Group, P.C"
3,"Midwestern Audit Services, Inc"
3,Model Finance Company
3,"Money Investigations, Inc."
3,"Morgan & Associates, P.C."
3,"Moss Law Firm, P.C."
3,Mother Lode Holding Company
3,"Nagle & Zaller, PC"
3,"National Bond And Collection Associates, Inc."
3,"National Budget Planners of South Florida, Inc"
3,National Debt Group of NY
3,Nations Direct Mortgage LLC
3,"Nelson, Cooper & Ortiz, LLC"
3,Niagara Restitution Service Inc
3,North Capital Recovery Services
3,"Northeast Recovery Solutions, LLC"
3,"Northeastern Credit Services, Inc."
3,Old Republic National Title Holding Co.
3,"Old Republic Title Holding Company, Inc"
3,"Oliver Adjustment Company of Kenosha & Racine, Inc"
3,"On Q Financial, Inc"
3,OpenRoad Lending
3,"PASCO, Inc"
3,"PMR Progressive, LLC"
3,"POM Recoveries, Inc."
3,"PROFESSIONAL COLLECTION SERVICE, INC"
3,Patrick Scanlon P.A.
3,"Peer Advisors, LLC"
3,Pending Company Setup
3,"Phelan Hallinan, LLP"
3,"Pingora Holdings, LP"
3,"Plastyc, Inc."
3,"Plutos Sama, LLC"
3,Prim and Mendheim
3,"Professional Adjustment Bureau of Mid-America, Inc."
3,"Professional Choice Recovery, Inc."
3,Quality Acceptance llc
3,"Quality Recovery Services, Inc."
3,Quall Cardot LLP
3,RDK Collections Inc.
3,RMR Financial dba Princeton Capital
3,ROCKY POINT CAPITAL LLC
3,RPM Mortgage
3,"Rainier Collection Services, Inc."
3,Receivables Management Corporation of America
3,"Resolve Partners, LLC"
3,Richland Bureau of Credits Medical Service Bureau Inc.
3,"Road Runner Collection Services, Inc."
3,"S & S Recovery, Inc."
3,"SPS (Select Portfolio Servicing, LLC)"
3,"Saints Recovery Group, Inc."
3,"Sawaya, Rose, McClure & Wilhite, P.C."
3,"Secure Capital Management, Inc."
3,Security Capital Funding Corp.
3,"Seidberg Law Offices, P.C."
3,Set Financial Corporation
3,"Signature Performance Tiburon, LLC"
3,"Simpson Law Firm, P.A."
3,"Slovin & Associates Co., LPA"
3,Sound Mortgage
3,South Pacific Financial Corporation
3,Southern Auto Finance Co.
3,"Southern Service Systems, Inc."
3,"Southwest Funding, LP"
3,Speedee Cash Management
3,Statewide Credit Services Corp.
3,"Stevens Business Service, Inc."
3,Stone Higgs & Drexler
3,"Success Mortgage, LLC"
3,"Sullivan Asset Management, LLC"
3,"Systematic National Collection, Inc."
3,T.D. Service Financial Corporation
3,"Taylor Law, PLLC"
3,"Tennessee Quick Cash, Inc."
3,"The Law Firm of Ryan E. Calef and Associates, LLC"
3,The Law Offices of Daniel C. Consuegra
3,Thieblot Ryan P.A.
3,"Thomas F. Farrell, P.C."
3,"Total Finance AC, LLC"
3,"TruHome Solutions, LLC"
3,Trust Financial LLC
3,Underwood James and Associates LLC
3,"United Accounts, Inc."
3,"United Consumer Finance, Inc."
3,"Universal Finance, Inc."
3,"Universal Technical Institute, Inc."
3,"VeriCore, LLC"
3,Vermont Student Assistance Corporation
3,"Weinstein & Riley, P.S."
3,"Weinstock, Friedman, & Friedman, P.A."
3,"West Bay Recovery, Inc."
3,Whitehouse Law Firm LPA
3,Woods Oviatt Gilman LLP
2,1st Midwest Mortgage Corp
2,2233 Paradise Road LLC
2,A.R.C. Accounts Recovery (U.S.A.) Corporation LLC
2,ALCOVA Mortgage LLC
2,AR Solutions Inc
2,AUDUBON LIBERTY & ASSOCIATES
2,Accelerated Receivables Solutions
2,"Access Credit Management, Inc."
2,"Accord Creditor Services, LLC"
2,Account Liquidation Services Inc.
2,"Account Recovery Services, Inc. (Texas)"
2,Accounts Receivable Consultants Inc.
2,Ace Motor Acceptance Corporation
2,"Acopia, LLC"
2,"Adsen & Associates, LLC"
2,Advance Mortgage Corporation
2,"Advanced Collection Services, LTD"
2,"Advantage Financial Services, LLC"
2,"All Western Mortgage, Inc."
2,Amegy Bank
2,"American Collection Systems, Inc"
2,"American Collection Systems, Inc. (OH)"
2,American Federal Mortgage Corporation
2,"American Financial Credit Services, Inc."
2,"American Financial Lending, Inc."
2,American Financial Mortgage Corporation
2,American Portfolio Mortgage Corporation
2,Ameripro Funding
2,"Amplify Revenue Solutions, LLC"
2,"Andesite Finance Company, LLC"
2,Angel Oak Mortgage Solutions LLC
2,Arbor Mortgage
2,Assent Inc.
2,"Asset Acquisition Group, LLC"
2,"Asset Maximization Group, Inc."
2,"Association Financial Services, LLC"
2,"Atlantic Home Loans, Inc."
2,Atlantic Mortgage Direct LLC
2,Atlantic Pacific Mortgage Corporation
2,"Auto Properties II, LLC"
2,"AutoMoney, Inc."
2,"Automatic Data Processing, Inc."
2,"BAS Receivable Management, Inc."
2,"BAV Solutions, LLC"
2,BBVA Puerto Rico
2,Bank of China USA
2,Bankers Auto Acceptance
2,"Bankers Healthcare Group, LLC"
2,"Barrett Asset Recovery Services, LLC."
2,"Barrons Mortgage Group, Ltd."
2,Baxter Bailey & Associates
2,"Bizcorp, LLC"
2,"BlueYield, Inc."
2,"Bonded Business Services, Ltd."
2,"Bonded Collectors of Wisconsin, Inc"
2,Bridgelock Capital
2,"Brown Olcott, PLLC"
2,"CBS Collections, Inc"
2,CCBA Inc.
2,CENTURION IV LLC
2,CF Funding
2,CFS ACCEPTANCE
2,"CJA Auto Sales, Inc."
2,"CMM, LLC"
2,"COASTAL LAW FIRM, APLC"
2,CalLoan Corp
2,California Bank & Trust
2,"Camelot Financial Services, Inc."
2,"Capitol Credit Services, Inc"
2,"Capture Financial, LLC"
2,"Cardinal Accounts, Inc."
2,Carma Enterprises Inc
2,"Carolina Finance, LLC"
2,"Cars Financial, Inc"
2,"Cascade Mortgage, Inc."
2,Cash Money LLC
2,Cendera Funding
2,"Central Capital Arbitration Firm, LLC"
2,Century Financial Group
2,"Certified Bureau of the South, Inc"
2,"Charleston Area Medical Center, Inc."
2,Churchill Debt Settlement
2,"Citywide Mortgage Associates, Inc."
2,"Claims Recovery Systems, Inc."
2,"Clarfield, Okon, Salomone and Pincus, P.L."
2,ClearPath Lending
2,Clearview Resolution Services
2,"Coastal Capital Processing, LLC"
2,"Coastal Finance Company, Inc."
2,"Cochren Bailey & Associates, LLC"
2,"Cogent Road, Inc."
2,"Collection Resources, Inc."
2,Colonial Mortgage Service Co. Of America
2,"Colorado Capital Investments, Inc."
2,"Columbia Credits, Inc"
2,Commonwealth Health Corporation
2,"Constantino Law Office, P.C."
2,Consumer Collection Advocates
2,"Contour Financial, Inc"
2,"Core Advisory Group, LLC"
2,Cornerstone Mediation LLC
2,"Coulter Dove & Harris, PC"
2,Courtney & Camp
2,"Credit Adjustment Services of Harrisburg, Inc"
2,"Credit Associates of Maui, LTD"
2,"Credit Bureau of Bessemer, Inc"
2,"Credit Bureau of Jamestown, Inc."
2,"Credit Bureau of Lewiston-Clarkston, Inc"
2,"Credit Information Bureau, Inc."
2,"Credit Regulating Services, Inc."
2,"Credit Service of Logan, Inc."
2,"Credit Technologies, Inc."
2,"CrossCheck, Inc."
2,D.B.F. COLLECTION CORP.
2,"DCS Financial, Inc."
2,DEPENDABLE CREDIT CORP
2,"David A. Bauer, P.C."
2,Deatrick & Spies PSC
2,Debt Recovery Specialists
2,Debt Restoration Services
2,"Delta Management Group, Inc."
2,Diamond Funding Corporation
2,"Direct Mortgage Loans, LLC"
2,Draper and Kramer Mortgage Corp
2,Dunlap Gardiner LLP
2,"Durango Credit and Collection Company, Inc."
2,EMPIRE FINANCE CO LLC
2,ESM Enterprises
2,"Eagle Financial Services, Inc."
2,Earnest Inc.
2,"Educational Loan Servicing, LLC"
2,"Emerald AR Systems, LLC"
2,"Endeavor Capital, LLC"
2,Enterprise Acquisitions
2,"Equity National Title and Closing Services, Inc."
2,"Executive Credit Management, Inc"
2,"Express Collections, Inc."
2,F&L Marketing Enterprises LLC
2,FDIC
2,"FX Quick Cash, LLC"
2,"Fair Resolutions, Inc."
2,"Fairway Funding Group, Inc"
2,"Fearon Financial, LLC"
2,"Federal Adjustment Bureau, Inc."
2,"Feldman & Stern, LLC"
2,"Fidelis Recovery Management, LLC"
2,Finance Store Inc.
2,Financial Freedom Mortgage Inc
2,"Financial Freedom Mortgage, LLC"
2,"FirsTrust Mortgage, Inc."
2,"First Community Mortgage, Inc."
2,First Mortgage Solutions
2,"First Premier Financial, Inc."
2,"First Wholesale Lending, Inc"
2,First World Mortgage Corporation
2,"FirstKey Holdings, LLC"
2,"Fisher Financial Group, Incorporated"
2,Fix Media
2,Fradkin & Weber PA
2,"Franks Adjustment Bureau, Inc."
2,"Frontier Financial, Inc."
2,GBM & Associates Inc. of Christian County
2,GSA Commercial Asset Management
2,"General Financial, Inc."
2,Georgetown Mortgage
2,"Glenn Associates, Inc."
2,"Goodman Frost, PLLC"
2,Gotham Collection Services Corp.
2,"Grand American Resources, Inc"
2,Greyhill Financial
2,Gross Polowy LLC
2,Hanna Holdings Inc.
2,Harbor Front Acquisitions LLC
2,Helm Associates
2,Helvetica Servicing Inc.
2,"Heritage Pacific Financial, LLC"
2,"Hidden Oak Group, Inc."
2,"HighTechLending, Inc."
2,Home Finance of America Inc.
2,Home Point Capital Inc.
2,"Homeside Financial Services, LLC"
2,"Honolulu HomeLoans, Inc."
2,"Houser & Allison, APC"
2,"Howell & Vail, LLP"
2,Hunter Financial Group
2,ISIS SECURITY INFORMATION SYSTEMS INC.
2,Ideal Direct Solutions
2,"Innovative Debt Recovery, Inc."
2,Instant Cash Advance Corp
2,"Integrity Asset Partners, Ltd."
2,"Investment Management Company, LLC"
2,"JDJ Investments, INC."
2,JLU Asset Management Group LTD
2,JPay Inc.
2,"Jason Michael Katz, P.C."
2,"Jeffrey G. Lerman, P.C."
2,Khoury Alternative Claims Management
2,Kirkston Mortgage Lending LLC
2,"Knight & Hooper, PLLC"
2,L.B.Gray LLC A Debt Collection Agency
2,LPSG
2,Lacy Katzen LLP
2,"Larsen MacColl Partners II, L.P."
2,Law Office of Stephen P. Lamb
2,Law Offices of Alan Mege
2,Law Offices of Goldberg & Oriel
2,Law Offices of Les Zieve
2,Law offices of Steven Cohen LLC
2,"Lefkoff, Rubin, Gleason & Russo, P.C."
2,"Lenderfi, Inc."
2,"Lennar Financial Services, LLC"
2,Leon Financial Services
2,"Levy Diamond Bello & Associates, LLC"
2,"Liberty Credit Services, Inc."
2,"Life Line Billing Systems, LLC"
2,"Lippman & Reed, PLLC"
2,"Livingston Financial, LLC"
2,Logan View LLC
2,"Long & Foster Financial Services, Inc."
2,Luckmore Finance
2,M.L. Zager P.C.
2,"MCS Mortgage Bankers, Inc."
2,MOTORS FINANCIAL ACCEPTANCE CORPORATION
2,"MTH Lending Group, L.P."
2,Maitland Capital Funding
2,Man-Data Inc.
2,"Mann Mortgage, LLC"
2,Markoff Law LLC
2,"Martin & Seibert, L.C."
2,"Maryland Mutual Mortgage, LLC"
2,"Mason, Schilling & Mason Co., LPA"
2,Master Finance Company
2,"Mathes Management Enterprises, Inc."
2,"Maui Collection Service, Inc."
2,Medallion Mortgage Company LLC
2,Medical-Commercial Audit Inc
2,Merrimack Mortgage Company Inc
2,"Metro Republic Commercial Service, Inc."
2,"MiLEND, Inc."
2,Michael G. Niles
2,"Michigan Legal Specialists, P.C."
2,"Michigan Mutual, Inc"
2,Mid Valley Financial
2,"Midwest Credit & Collection, Inc."
2,Midwest Finance Corporation
2,Mike Rome Holdings LLC
2,"Millsap & Singer, LLC"
2,"Mirabella Investments Group, LLC"
2,"Money Management International, Inc."
2,Moritz Partners L.P.
2,"Mortgage America, Inc."
2,"Mountain West Legal Solutions, PLLC"
2,Multiple Credit Solutions
2,N&S Partners
2,NAM National Arbitration and Mediation
2,NCMI Corporation
2,"NTFN, Inc"
2,"National Asset Advisors, LLC"
2,National Bank of Arizona
2,"National Loan Investors, LP"
2,National Loan Review Consultants Corporation
2,"National Settlement Services, Inc"
2,Nationwide Doc Prep Inc
2,Nationwide Equities Corporation
2,"Nationwide Title Clearing, Inc."
2,Nelson Cruz & Associates LLC
2,Nevada Professional Collections Texas
2,Niagara Capital Recovery LLC
2,"Northeast Home Loan, LLC"
2,Norwich Commercial Group Inc.
2,Novea Portfolio Management LLC
2,Noyes Law Firm P.C.
2,"NuView Financial Services, LLC"
2,"O and L Law Group, P.L."
2,OCC
2,"OHara Holdings, LLP"
2,"OVM FINANCIAL, INC"
2,Oceanside Mortgage Company
2,Oklahoma Motor Credit Company
2,Open Mortgage LLC
2,"Openonline, LLC"
2,"PC LEGAL SERVICES, LLC"
2,PELICAN CREDIT COMPANY
2,"PRO Consulting Services, Inc."
2,Pacific Credit Exchange Corporation
2,"Pacific Credit Services, Inc."
2,"Paragon Subrogation Services, Inc"
2,"Parnell & Crum, PC"
2,Payday America Inc.
2,Payment Resolution Services
2,"Pech, Hughes & McDonald P.C."
2,Peerless Credit Services Inc
2,"PinReid, LLC"
2,Pioneer Capital Solutions Inc
2,"Pittenger Law Group, LLC."
2,"Platinum Mortgage, Inc."
2,Portage Financial Services Company Inc.
2,"Portfolio America Asset Management, LLC"
2,Preferred Finanical Services Corporation
2,"Prime Business Service, LLC"
2,Prime Credit Corporation
2,"Professional Solutions Collection Agency, LLC"
2,"Prospect Financial Group, Inc"
2,Public Auto Sales Inc.
2,"Quad Corporation, Inc."
2,"R J Baucum Enterprises, Inc."
2,"RAB PERFORMANCE RECOVERIES, LLC"
2,"RMCN Credit Services, Inc."
2,Rapid Auto Loans LLC
2,"Recheck, Inc"
2,Regency Mortgage Corp
2,"Relin, Goldstein & Crane, LLP"
2,Residential Home Funding Corp
2,Resolve Solution Services Corporation
2,Revenue Cycle Management
2,Revenue Cycle Management Corp
2,Ricart Financial Services
2,"Richard B. Maner, P. C."
2,"Riexinger & Associates, LLC"
2,"Robert L. Tankel, P.A."
2,Robinson & Associates
2,Robinson & Hoover
2,"Rolfe & Lobello, P.A."
2,Rose Agency Inc.
2,Ross Mortgage Corporation
2,"SINGLETARY & THRASH-JACKSON, P.A."
2,"SIRVA, Inc."
2,"SKY FINANCIAL SERVICES, INC."
2,"SUN FINANCE CO., LLC"
2,SVB Financial Group
2,"SW Linear Investment Group, LLC"
2,Samuel Whitaker & Associates LLC
2,"Sarasota CCM, Inc."
2,SchoolsFirst Federal Credit Union
2,"Security Auto Loans, Inc."
2,Select Resource Group LLC
2,"Service 1st Mortgage, Inc."
2,Simonich Corporation
2,Skeens Consulting Corporation
2,Sklar Law LLC
2,"Slater, Tenaglia, Fritz & Hunt, PA"
2,"South West Recovery, Inc."
2,"Southern Financial Systems, Inc."
2,"Sovereign Lending Group, Incorporated"
2,Springer Collections Inc.
2,State Law Group
2,Sterling Asset Resolution LLC
2,"Sterling Atlantic Law Group, PC"
2,Strauss Factor Laing & Lyons
2,Streeter Brothers Mortgage Corp
2,Student Assist Plus LLC
2,Student Debt Center LLC
2,Sullivan & Terranova
2,"Summit AmeriFirst Holdings, Inc."
2,Summit Mortgage Corporation
2,Summit Mortgage Corporation (Minnesota)
2,SunUp Financial
2,Swan Financial Corporation
2,TFC Credit Corporation
2,"THE RYLAND GROUP, INC."
2,TRINITY HOPE ASSOCIATES
2,The Collection Connection
2,The Cooper Mediation Firm LLC
2,The Eastbrooke Group LLC
2,The Law Office of Edwin B. Parry
2,"The Law Offices of Barry J. Gammons, PLLC"
2,"The McHughes Law Firm, LLC"
2,"The Mortgage Specialists, Inc."
2,"The Nguyen Law Firm, PLC"
2,"Thompson O'Brien Kemp & Nasuti, P.C."
2,Thrive National Corporation
2,"Top Flite Financial, Inc."
2,Torriere Holdings INC
2,"Total Recovery Services, Inc"
2,Town & Country Acceptance Corporation
2,Town Financial Corporation
2,"Town Square Mortgage & Investments, Inc."
2,Towne Mortgage LLC
2,"Trident Mortgage Company, LP"
2,"Troy Capital, LLC"
2,U.S. Auto Credit Corporation
2,US Gold Cards Inc
2,US Wide Financial
2,"USA CASH SERVICES MANAGEMENT, INC."
2,USForex Inc.
2,USI Solutions Inc.
2,Union National Mortgage Co
2,United Collection Bureau
2,"United Collection Service, Inc (FL)"
2,"United Compliance Services, LLC"
2,"United Mortgage,  LLC"
2,"Universal Mortgage and Finance, Inc"
2,Vanguard Funding LLC
2,Vargo & Janson PC
2,Veritas Funding LLC
2,Visio Financial Services Inc.
2,Volunteer Mortgage Inc
2,WALDEN ASSET MANAGEMENT LLC
2,"WALL STREET MORTGAGE BANKERS, LTD"
2,"WESTERN CREDIT & COLLECTION SERVICE, INC."
2,Wallick and Volk Inc
2,"Walwick, Inc"
2,Watertown Credit Bureau Inc
2,Western Alliance Bancorporation
2,Whitestone Financial Holdings LLC
2,Wholesale Capital Corporation
2,"Williams -Williams Commercial Collections, Inc"
2,"Williamson and Brown, LLC"
2,"Wolfe Financial, Inc."
2,Worldwide Recovery LLC
2,"Yakima County Credit Service, INC"
2,ZestFinance
2,"Zeus Mortgage, Ltd."
1,1st Maryland Mortgage Corporation
1,"1st Money Center, Inc."
1,1st Portfolio Holding Corporation
1,"1st Priority Mortgage, Inc."
1,245 Holdings LLC
1,99th Floor LLC
1,"A & O Recovery Solutions, LLC"
1,"A+ Financial Services, Inc."
1,"AAA Credit Bureau, Inc."
1,AARON DELGADO AND ASSOCIATES INC
1,"ABA Recovery Service, Inc."
1,"ABC Financial Services, Inc."
1,"ACG Funding, Inc."
1,"AFM Financial Services, LLC"
1,AIH Receivables Management Inc.
1,"AIHC of Puerto Rico, Inc."
1,"ALE Solutions, Inc."
1,ALG
1,"ALG Real Estate Services, Inc"
1,AMRON PROFESSIONAL SERVICES
1,"AUTOMATED RECOVERY SYSTEMS, INC"
1,Abbey Mortgage of Ocala Inc.
1,Able Mortgage
1,Absolute Home Mortgage Corporation
1,"Absolute Recovery Services, LLC"
1,"Accelerated Revenue, Inc."
1,"Access Capital Services, Inc."
1,"Account Managers, Inc."
1,"Account Recovery Company, Inc."
1,Accounts Receivable Services
1,Accounts Recovery Agency Inc.
1,Accurate Financial Services
1,Action Collectors Inc.
1,Activity Collection Service
1,"Advance Paychecks,  LLC"
1,"Advance Title & Abstract, Inc."
1,"Advanced Collections, Inc."
1,"Advanced Loan Systems, LLC."
1,"Advanced Recovery Systems, Inc. (PA)"
1,Advantage Credit Bureau Inc.
1,"Advantage Credit, Inc."
1,"Affiliated Collection Services, LLC"
1,"Affiliated Creditors, Inc."
1,"Alaska Cascade Financial Services, Inc."
1,"Alisa Katz Campbell, P.C."
1,"All Kind Check Cashing, Inc."
1,"Alliance Financial Resources, LLC"
1,Allied California
1,"Allocated Business Management, LLC."
1,Alpha Mortgage Corporation
1,"Alpine Capital Investments, LLC"
1,"Alpine Mortgage Services, LLC"
1,"Alternative Revenue Systems, Inc"
1,Amati & Associates LLC
1,"American Acceptance Co., LLC"
1,"American Eagle Mortgage Co., LLC"
1,"American Fidelity Mortgage Services, Inc."
1,American Finance LLC
1,"American Financial Mortgage Services, Inc."
1,American Mediation
1,American Mortgage Investment Partners Fund I Trust
1,American Northwest Recovery Solutions Inc
1,American Professional Collections
1,"American Receivables Agency, LLC"
1,American Security Mortgage Corp.
1,American Tax Holding LLC
1,American United Mortgage Corporation
1,"Americas Mortgage Professionals, LLC"
1,Amerivest Mortgages
1,"Anderson and Associates Credit Services, LLC"
1,"Apex Home Loans, Inc."
1,"Aristocrat Title, LLC"
1,Armed Forces Loans of Nevada Inc.
1,"Arthur B. Adler & Associates, Ltd"
1,Ashner Group Inc
1,"Ashton & Weinberg, Inc."
1,Aspen Home Mortgage Group
1,"Asset One Mortgage, Inc."
1,Associated Mortgage Bankers inc.
